transaction,produktbereich_name,produktbereich_produktbereich-id,produktbereich_label,amount,haushaltsstelle_haushaltsstelle-id,haushaltsstelle_name,haushaltsstelle_label,time_name,time_year,time_month,time_day,time_week,time_yearmonth,time_quarter,time,produktgruppe_produktgruppen-id,produktgruppe_name,produktgruppe_label
f192e5d8fd018398a38db7de3058607c,wahlen-und-ubergeordnete-angelegenheiten,,Wahlen und übergeordnete Angelegenheiten,339309.73999999999068677425384521484375,,aufwendungen-fur-zuweisungen-und-zuschusse-sowie-besondere-finanzausgaben,Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben,2008-01-01,2008,01,01,00,200801,0,2008-01-01,,integration-und-antidiskriminierung,Integration und Antidiskriminierung
af54e6e79938051de24288cf8ddcf2b6,wahlen-und-ubergeordnete-angelegenheiten,,Wahlen und übergeordnete Angelegenheiten,196000,,aufwendungen-fur-zuweisungen-und-zuschusse-sowie-besondere-finanzausgaben,Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben,2014-01-01,2014,01,01,00,201401,0,2014-01-01,,integration-und-antidiskriminierung,Integration und Antidiskriminierung
19cbdf3db862458d5f305f724c59fbc6,wahlen-und-ubergeordnete-angelegenheiten,,Wahlen und übergeordnete Angelegenheiten,180,,ausserordentliche-aufwendungen,Außerordentliche Aufwendungen,2011-01-01,2011,01,01,00,201101,0,2011-01-01,,gleichberechtigung-fur-burgerinnen,Gleichberechtigung für Bürgerinnen
54fa7bd33275eba3e50d7aa701fba55d,wahlen-und-ubergeordnete-angelegenheiten,,Wahlen und übergeordnete Angelegenheiten,1398000,,aufwendungen-fur-zuweisungen-und-zuschusse-sowie-besondere-finanzausgaben,Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben,2013-01-01,2013,01,01,00,201301,0,2013-01-01,,gleichberechtigung-fur-burgerinnen,Gleichberechtigung für Bürgerinnen
c8b3bfa8c25347f7a05024fea291034f,wahlen-und-ubergeordnete-angelegenheiten,,Wahlen und übergeordnete Angelegenheiten,26000,,abschreibungen,Abschreibungen,2016-01-01,2016,01,01,00,201601,0,2016-01-01,,statistik-und-stadtbeobachtung,Statistik und Stadtbeobachtung
1d847b8ed02d17ffe3b999c3e90829ce,wahlen-und-ubergeordnete-angelegenheiten,,Wahlen und übergeordnete Angelegenheiten,3000,,abschreibungen,Abschreibungen,2015-01-01,2015,01,01,00,201501,0,2015-01-01,,geschaftsstelle-der-kav,Geschäftsstelle der KAV
85b667b689e6a4819fe77e221f5dfe4b,ordnung-und-sicherheit,,Ordnung und Sicherheit,10917000,,personalaufwendungen,Personalaufwendungen,2012-01-01,2012,01,01,00,201201,0,2012-01-01,,einwohnerangelegenheiten,Einwohnerangelegenheiten
a92abf9e47522f8625b6a176ec0739eb,ordnung-und-sicherheit,,Ordnung und Sicherheit,6854000,,aufwendungen-fur-sach-und-dienstleistungen,Aufwendungen für Sach- und Dienstleistungen,2016-01-01,2016,01,01,00,201601,0,2016-01-01,,einwohnerangelegenheiten,Einwohnerangelegenheiten
9641716987a8ca11676bc5a7f9e3a65e,ordnung-und-sicherheit,,Ordnung und Sicherheit,3034241.25999999977648258209228515625,,personalaufwendungen,Personalaufwendungen,2008-01-01,2008,01,01,00,200801,0,2008-01-01,,staatsangehorigkeit-und-personenstand,Staatsangehörigkeit und Personenstand
f5062f62c15a1b8df274be59acc809b6,ordnung-und-sicherheit,,Ordnung und Sicherheit,1237877.790000000037252902984619140625,,versorgungsaufwendungen,Versorgungsaufwendungen,2008-01-01,2008,01,01,00,200801,0,2008-01-01,,staatsangehorigkeit-und-personenstand,Staatsangehörigkeit und Personenstand
